Filename,Upper left,Lower left,Upper right,Lower right,Center
8af37ae8-0bd4-47ac-bb33-ddcb869a4586_left.tif,"-111.9748799,33.0757384","-111.9748799,33.0757283","-111.9748711,33.0757384","-111.9748711,33.0757283","-111.9748755,33.0757333"
61743052-0195-4671-a924-c43937bc0543_left.tif,"-111.9748745,33.0757384","-111.9748745,33.0757283","-111.9748657,33.0757384","-111.9748657,33.0757283","-111.9748701,33.0757333"
a9a2efab-2c72-4be0-908c-c00f03a56bab_left.tif,"-111.9748694,33.0757384","-111.9748694,33.0757283","-111.9748606,33.0757384","-111.9748606,33.0757283","-111.9748650,33.0757334"
7473113a-0601-4ddd-9d32-dabd46b048e2_left.tif,"-111.9748639,33.0757384","-111.9748639,33.0757283","-111.9748551,33.0757384","-111.9748551,33.0757283","-111.9748595,33.0757334"
b85d35c4-904f-4ed2-99c1-fdd57997dbce_left.tif,"-111.9748584,33.0757384","-111.9748584,33.0757283","-111.9748496,33.0757384","-111.9748496,33.0757283","-111.9748540,33.0757334"
5bdd3535-c246-46d1-a93f-2175487b570c_left.tif,"-111.9748532,33.0757383","-111.9748532,33.0757282","-111.9748444,33.0757383","-111.9748444,33.0757282","-111.9748488,33.0757333"
17c91d32-ff90-4911-8ec7-c14908c16e02_left.tif,"-111.9748482,33.0757384","-111.9748482,33.0757283","-111.9748394,33.0757384","-111.9748394,33.0757283","-111.9748438,33.0757334"
03c66159-be6a-4806-b21b-a0e53efdf053_left.tif,"-111.9748426,33.0757384","-111.9748426,33.0757284","-111.9748338,33.0757384","-111.9748338,33.0757284","-111.9748382,33.0757334"
00c86ad6-37fb-49ca-85e4-9f22ad9dbde9_left.tif,"-111.9748371,33.0757384","-111.9748371,33.0757284","-111.9748283,33.0757384","-111.9748283,33.0757284","-111.9748327,33.0757334"
5168e800-42e2-4a14-974e-f2fe284b6dae_left.tif,"-111.9748319,33.0757390","-111.9748319,33.0757290","-111.9748231,33.0757390","-111.9748231,33.0757290","-111.9748275,33.0757340"
